바비킴 속 하+ㄴ그룹 부가 킹즈, 2집 발 .	PER-B O O ORG-B O O O O
특히 다음달 잇따르 아 펼쳐지는 북한-일본 여자 대표팀 경기의 경우 북한이 아시아 최고의 수준을 달리고 있는 만큼 남자 선수들이 못 다 하+ㄴ 월든 컵 최종 예선전의 일본 전 승리를 대신 하+여주+ㄹ 수 있을 것으로 보이+ㄴ다 .	O O O O O ORG-B O O O O ORG-B LOC-B O O O O O O O O O O O O O O O O O O O O O O O O
잇어 경찰은 오전 9시27분까지 7차례 협박 전화를 하+여오+ㄴ이 남자의 전화 발신지를 추적, 남구 무거동 울산과학대 인근 공중전화 부스 안에 있던 김모(26.무직)씨를 붙잡았다 .	O O O O O O O O LOC-B O O O LOC-B LOC-B LOC-B O O O O O PER-B O O
'초롱이' 이영표(28)와 PSV에 인트 호벤의 결별 가능성이 더욱 커지고 있다 .	PER-B PER-B ORG-B O O O O O O O O
이영표는 에인트 호벤과 내년 6월까지 계약이 되+어 있으며 지나+ㄴ 5월 구단으로부터 '4년 계약 연장' 제안을 받은 상태이다 .	PER-B O O O O O O O O O O O O O O O O O
나카무라는 브라질과의 컨페더 레이션스컵 준결승에서 1-1로 균형을 맞추는 동점골과 막판 승부를 원점으로 돌리는 극적이 +ㄴ동점골의 발판을 놓는 등 인상적 이+ㄴ 활약을 펼치었다 .	PER-B ORG-B O O O O O O O O O O O O O O O O O O O O O
15일부터 열리는 클럽축구 대항전 2005 피스컵코리아에 출전하기 위하+ 여내 한 하는 에인트 호벤의 일정을 맞추고 경기장을 구하느라 진통 끝에 어렵게 성사되+ㄴ 대결이다 .	O O O O O O O O O O O O O O O O O O O O O O O
관심을 끌는 매치업은 박주영과 이영표 .	O O O PER-B PER-B O
프로축구 성남일화가 2005 피스컵코리아와 K-리그 후반기에 대비 하+여 지난해 K-리그 득점 왕 출신의 삼바 특급 모따(25.브라질)를 영입하였다 .	O ORG-B O O O O O O O O O O O PER-B O ORG-B O O
성남은 모따를 영입하+ㅁ으로써 수원 삼성, 울산 현대에서 각각 데려 오+ㄴ미드필더 김두현, 박진섭과 함께 탄탄하+ㄴ 진용을 구축하게 +었다 .	ORG-B PER-B O ORG-B O ORG-B O O O O PER-B PER-B O O O O O O
전남은 이에 대하+여현재 시즌 중이고 제안받은 이적료도 낮아 보내+ㄹ 수 없다는 입장을 보이고 있다 .	ORG-B O O O O O O O O O O O O O O
요하네스본 프레레 축구 국가대표팀 감독은 12일 코칭스태프 회의를 열어 오는 31일부터 8월 7일까지 대전, 전주, 대구에서 열리는 제2회 동아시아연맹(EAAF) 축구선수권대회에 출전하+ㄹ 대표팀 25명의 명단을 확정, 발표하였다 .	PER-B O O O O O O O O O O O O LOC-B LOC-B LOC-B O O ORG-B O O O O O O O O
'천재 골잡이' 박주영(FC서울)과 '본 프레레 호황태자'이 동국(포항)은 공격진에 포함되었다 .	O O ORG-B O O O ORG-B O O O
본 프레레 감독은 "대회 시작 1주일 전 이+ㄴ 24일 대표팀을 소집하+여야 하는데 FC서울이 피스컵에 참가하는 보카주니어스와 26일 친선전을 치르는 것으로 듣었다"며 "대표팀에서 뭐 +이+ㄴ가를 하려면 항상 FC서울이 걸림돌이 되는 것 같다"고 불편하+ㄴ 심기를 드러내+었다 .	O O O O O O O O O O O O ORG-B O O ORG-B O O O O O O O O O O ORG-B O O O O O O O O
FC서울의 한 관계자는 "안보내+어주겠다는 것도 아니고 FC서울로서도 중요하+ㄴ경기 이+ㄴ데 축구협회에서 협조 하+여주+어야 하+ㄴ다"며 "이미 이런 일을 예상 하+여 축구협회 관계자와 상의하였고 긍정적 이+ㄴ 대답도 얻었다"고 설명하였다 .	ORG-B O O O O O ORG-B O O ORG-B O O O O O O O O ORG-B O O O O O O O O
다음은 본 프레레 감독과의 일문일답 .	O O O O O O
--일부에서 +ㄴ 본 프레레 감독의 지도력에 대하+여불신하고 있는데 .	O O O O O O O O O
--2년 만에 방한 하+ㄴ 소감은 .	O O O O O O
--이영표의 이적설이 돌고 있는데 .	PER-B O O O O
히딩크 애인 엘리자베스 동 .	PER-B O PER-B O O
킨은 또 한국 축구에 대하+여"월드컵 준결승까지 올라가 +ㄴ 강팀이 고 최근 몇 년간 많이 발전 하+ㄴ 것으로 알고 있다. 발전 속도가 앞으로도 계속 이어지+ㄹ 것으로 보+ㄴ다"고 덕담을 남기었다 .	PER-B O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O
유벤투스, 캠벨마저 눈 .	ORG-B PER-B O O
한편 프랑스 프로 축구(르샹 피오나) '올해의 선수' 출신의 미셸에 시앙(22.올림 피크리옹)의 이적 여부를 놓고 부자 구단 첼시와 리옹 간의 협상이 막판 '공전'하고 있는 것으로 알려지었다 .	O LOC-B O ORG-B O O O O PER-B ORG-B ORG-B O O O O O ORG-B ORG-B O O O O O O O O
FC메스 측에서 +ㄴ 2년을 요구하었지만 1년 계약을 하+ㄴ 안정환은 "1년 뒤 또 다른 리그에서 새롭ㄴ 경험을 하고 싶었다"고 배경을 전하였다 .	ORG-B O O O O O O O PER-B O O O O O O O O O O O O
"2년 만에 다시 찾은 한국 땅에서 피스컵 2연패의 기쁨을 맛보고 싶다."(거스 히딩크 PSV에 인트 호벤 감독 .	O O O O LOC-B O O O O O PER-B O ORG-B O O O O
수문장에는 브라질 대표팀 '2번골키퍼'고메즈가 버티고 있다 .	O LOC-B O PER-B O O O
김 감독은 "에인트 호벤은 분명히 우리보다 강 하+ㄴ팀이다. 강팀과의 갭을 얼마나 줄이느냐가 전략적 목표+이다. 상대를 얼마나 괴롭히느냐에 따르 아우리가 이기+ㄹ 수도 있다고 보+ㄴ다"고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O
◇피스컵 개막일(15일) 일정 .	O O O O
또 '새내기' 공격수 김진용(울산)도 본 프레레호가 발탁 하+ㄴ '숨은 진주' 중 하나+이었다 .	O O O LOC-B O O O O O O O O O
전남 최진한 코치는 "신인이 올 시즌 대부분 경기에 나서+어주 전자리를 꿰차+았다면 '물건'이+ㅁ에 틀림없다"고 평하였을 정도로 준비되+ㄴ '태극전사'의 역할을 십분 발휘하고 있다 .	ORG-B PER-B O O O O O O O O O O O O O O O O O O O O
185㎝의 크+ㄴ 키와 대학 때 공격수로 활약하였던 전력 덕분에 개인기가 뛰어나고 득점 능력까지 갖추+ㄴ 수비수로 올 시즌 K리그 17경기에 나서+어 1골1 도움을 기록하였다 .	O O O O O O O O O O O O O O O O O ORG-B O O O O O O
히딩크 감독을 비롯하+여정 몽준 축구협회장, 축구원로 김화집 선생, 이회택 축구협회 부회장 등 축구협회가 선정하+ㄴ '명예의 전당' 헌액자 7명의 흉상은 오는 8월 월드컵 기념관 개관에 맞추+어 공개되+ㄹ 예정이었지만 이날 히딩크 감독의 강력 하+ㄴ 요청에 따르 아미리 공개되+ㄴ 것 .	PER-B O O O ORG-B ORG-B PER-B O PER-B ORG-B O O ORG-B O O O O O O O O LOC-B O O O O O O PER-B O O O O O O O O O
에인트 호벤, 고대 올스타제 .	O O ORG-B O O
김 대의, 노정윤, 김정우 등을 선발 투입 하+ㄴ 고려대 올스타는 전반 12분 유상수가 수비수를 제치고 논스톱 슛을 때리었으나 크로스바를 넘어가 +았고 전반 41분 왼쪽 측면에서 올리+ㄴ 최성국의 터닝센터링은 크로스바를 맞고 튕기+어나가 +았다 .	O O PER-B PER-B O O O O ORG-B O O O PER-B O O O O O O O O O O O O O PER-B O O O O O O
후반 4분 최성국이 1대1 찬스를 맞았으나 마무리 슈팅이 빗 맞았고 후반 13분 최성국의 중거리 슛과 29분 조성용의 프리킥은 골키퍼 선방에 막히었다 .	O O PER-B O O O O O O O O O PER-B O O O PER-B O O O O O
히딩크 감독과 차범 근 감독의 인연은 자 못 깊다 .	PER-B O O O O O O O O O
조재진 .최태욱, J리그 연속 골불 .	PER-B PER-B ORG-B O O O
고베의 재일동포 미드필더 박 강조는 0-2로 뒤지던 전반 37분 히라세도 모유키의 골을 어시스트, 추격의 발판을 마련하였다 .	ORG-B O O O O O O O O PER-B O O O O O O O
'천재 골잡이' 박주영(FC서울)이 프로축구에서 역대 최다올스타 득표기록을 깨+ㄹ 수 있을지 관심이 모이고 있다 .	O O ORG-B O O O O O O O O O O O
한편 올스타전은 중부 선발(부천, 대전, 서울, 성남, 수원, 인천)과 남부선발(광주, 대구, 부산, 울산, 전남, 전북, 포항)로 나뉘어 다음달 21일 오후 6시 서울 월드컵경기장에서 열리+ㄴ다 .	O O LOC-B ORG-B ORG-B ORG-B ORG-B ORG-B ORG-B LOC-B ORG-B ORG-B ORG-B ORG-B ORG-B ORG-B O O O O O ORG-B O O O
한때 이적결심을 내비치며 올 여름 오프 시즌을 뜨겁게 달구었던 제라드는 이날 전반에만 2골을 뽑은 데 잇어 종료 직전 추가골을 넣으며 해트트릭을 작성, 최근 4년 연장 계약을 체결하+ㄴ팀에 톡톡히 보은+하였다 .	O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O
그동안 히딩크 감독은 이영표의 이적에 대하+여 '불가' 방침을 표시하면서 완전히 새롭ㄴ 조건으로 4년간 재계약을 요구하+여+오았으나 이 같은 입장을 나타내 +ㅁ으로써 이적에 관하+여한 발 물러서 +ㄴ셈이다 .	O PER-B O PER-B O O O O O O O O O O O O O O O O O O O O O O
히딩크. 본 프레레, 전야제서 만 .	PER-B O O O O O
본 프레레 감독은 "초대를 받아 기쁘다 .	O O O O O O O
한국 최초의 프리미어리거 박지성이 14일 오후 맨체스터 유나이티드의 홈구장이+ㄴ올드 트래포드 스타디움에서 입단식 및 기자회견을 가지었다 .	LOC-B O O PER-B O O ORG-B O O O O O O O O O
▲(퍼거슨 감독)에 인트호벤에서 뛰고 있을 때부터 박지성을 눈여기+어보+아야 하+ㄴ다는 말이 있었다 .	PER-B O O O O O PER-B O O O O O
▲(박지성) 맨유가 챔피언스리그와 프리미어리그 모두에서 우승하+ㄹ 수 있다고 생각 하+ㄴ다 .	PER-B ORG-B O O O O O O O O O
▲(박지성) 포지션에 구애받지 않는다 .	PER-B O O O O
오이타의 18세 이하 감독 및 코치를 거치+어 올해 사령탑에 오르+ㄴ 황보 감독은 지나 +ㄴ 14일 발표되+ㄴ'2005조 모올스타 축구'팬투표 1차 중간 집계 결과 총 19만8천635표의 유효표 가운데 1만2천172표를 획득, 서부감독 부문 4위에 랭크되었다 .	ORG-B O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O ORG-B O O O O
J리그이와타 '태극형제', 부진의 끝 .	ORG-B O O O O
김진규 의 사정은 더욱 심하다 .	PER-B O O O O O
한편 지나 +ㄴ 13일 FC 도쿄전에서 나란히 3경기 연속 골 사냥에 실패하였던 조재진(24)-최태욱(24. 이상시 미즈S펄스)은 17일 감바오사카와 의원정경기에서 득점포재가동에 나서 +ㄴ다 .	O O O O O O O O O O O O PER-B O O O ORG-B O O O O O
최전방 공격수로 선발 출전 하+ㄴ 김도훈은 0-1로 뒤지던 전반 10분 그림 같은 동점골을 터트리며 경기장을 가득 메우+ㄴ 성남팬들을 열광시키었다 .	O O O O O PER-B O O O O O O O O O O O ORG-B O O
현재 K리그 통산 108골로 역대 최다 골 기록(110골) 경신을 눈앞에 두고 있는 한국 프로축구의 대표 골잡이 김도훈은 과거 히딩크 감독과는 불행히도 인연이 없었다 .	O ORG-B O O O O O O O O O O ORG-B O O O PER-B O PER-B O O O O O
김도훈은 '활동폭이 +었는데 힘들지 않았느냐'는 물음에 "나이가 있다 보니 힘들었다.5년만 젊었어도 네덜란드 리그에 진출하였을 터+이+ㄴ데.."+이라며 아쉽 ㄴ미소를 남기었다 .	PER-B O O O O O O O O O O LOC-B O O O O O O O
이윽고 주심의 킥오프 휘슬이 울리고 나+ㄴ 뒤 이영표의 발끝에서 볼이 닿을 때마다 팬들은 환호성을 터트리었다 .	O O O O O O O PER-B O O O O O O O O
하지만 최근에 인트호벤에서 잉글랜드 프로축구 맨체스터 유나이티드로 이적 하+ㄴ 박지성(24)의 공백은 이날 경기장을 가득 채우+ㄴ 관중들에게 크+ㄴ아쉬움으로 남고 말았다 .	O O O LOC-B O ORG-B O O O PER-B O O O O O O O O O O
일본 프로축구(J리그) FC 도쿄가 서포터스 폭력사건에 대하+ㄴ 책임을 묻어 사장에게 감봉 조치를 내리었다 .	LOC-B ORG-B ORG-B O O O O O O O O O O O
박지성(24.맨체스터 유나이티드)이 23일 시작되는 극동아시아투어에서 실력 발휘를 하겠다며 자신감을 나타내 +었다 .	ORG-B O O O O O O O O O O O
그는 "한국의 팬들과 이곳 팬들이 나를 주목하고 있어 부담이 되+ㄹ 수 있지만 흔들리지 않고 본연의 플레이를 펼치+ㄹ 수 있다"고 강조하였다 .	O LOC-B O O O O O O O O O O O O O O O O O O O
광주시의 요청으로 16일 오후 광주 월드컵경기장에서 열리+ㄴ이날 팬사인회는 당초 오후 5시30분에 열리기로 +였지만 에인트 호벤 측의 요청으로 1시간 뒤로 미루+어+지었다가 결국 오후 7시가 넘어서야 시작되었다 .	LOC-B O O O LOC-B O O O O O O O O O O O O O O O O O O O O O
토마손, 슈투트가르트로 이 .	PER-B ORG-B O O
아스날은 "레예스와 6년간의 계약 연장에 합의+였고 이에 따르 아그는 2011년까지 우리 팀에서 뛰+ㄹ 것"이라고 밝히었다 .	ORG-B ORG-B O O O O O O O O O O O O O O
박지성은 16일 밤(이하 한국시간) 스코틀랜드 컴버놀들 브로드 우드스타디움에서 열리+ㄴ 클라이드(스코틀랜드 2부 리그)와의 프리시즌 평가 전 첫 경기에서 공격진의 일원으로 선발 출격 하+여전반 45분을 소화하였다 .	PER-B O O LOC-B ORG-B LOC-B LOC-B O O ORG-B O O O O O O O O O O O O O O O
맨체스터 유나이티드는 전반 13분과 19분로 시와 클레베르손이 찬스를 놓치었으나 31분 박지성의 발끝에서 시작되+ㄴ 연결플레이로 첫 골을 뽑았다 .	ORG-B O O O O O PER-B O O O PER-B O O O O O O O
프랑스 리그 4연패에 빛나는 올림피크 리옹이 성남일화를 꺾고 조선두로 올라서 +었다 .	O O O O ORG-B O ORG-B O O O O O
선제골은 이번 대회를 앞두고 터키 베시크타스에서 옮기+어오+ㄴ 카레우의 발끝에서 터지었다 .	O O O O ORG-B O O PER-B O O O
광주 경기에서 에인트 호벤은 개인기와 유연성을 겸비하+ㄴ 칼다스에시종 끌리+어다니+ㄴ 끝에 간신히 비기었다 .	LOC-B O O O O O O PER-B O O O O O
이영표는 5분 뒤 헛다리 짚기로 왼쪽 측면을 돌파 하+여날카롭 ㄴ크로스를 올리었으나 골키퍼 손에 걸리었다 .	PER-B O O O O O O O O O O O O O O
하지만 독일 월드컵 본선 무대를 10개월여 남기+ㄴ '본 프레레호'의 향후 일정을 미리 들이어다 보면 그리 편하지만은 않을 것으로 보이+ㄴ다 .	O O O O O O O O O O O O O O O O O O O O
한국은 지난해 아시안컵 8강에서 탈락하면서 전체 순위 7위에 랭크되+어 내년 아시안컵 2차 예선시드를 받지 못하게 되+ㄴ다 .	ORG-B O O O O O O O O O O O O O O O O
결국 본 프레레 감독은 국제축구연맹(FIFA) 규정에 따르 아5월에나 해외파선수들을 모두 부르어놓고 훈련하+ㄹ 수밖에 없는 상황에서 본선에 나서+어야 하는 부담을 극복하+여야만 하+ㄴ다 .	O O O O ORG-B O O O O O O O O O O O O O O O O O
레알 마드리드는 17일(이하 한국시간) 미국 시카고에서 열리+ㄴ 멕시코 프로팀 치바스과 달라하라와의 친선 경기에서 알바로메이자, 구티, 로베르토 솔다도의 연속골로 3-1 승리를 거두었다 .	ORG-B O O LOC-B LOC-B LOC-B O LOC-B O ORG-B O O O PER-B PER-B PER-B O O O O O O
당초 예상은 A조에서 디펜딩 챔피언 PSV에 인트 호벤(네덜란드), 올림피크 리옹(프랑스), B조에서는 토튼 햄핫스퍼(잉글랜드), 보카 주니어스(아르헨티나)가 조 1위에게만 주어지는 결승행 티켓을 다투+ㄹ 것으로 점치+어+지었다 .	O O ORG-B O O ORG-B O LOC-B ORG-B LOC-B ORG-B O LOC-B ORG-B LOC-B O O O O O O O O O
콜롬비아 대표 엘킨 소토를 비롯하+ㄴ 공격진은 마무리 슈팅의 위력이 다소 떨어지지만 문전까지 찬스를 만들어가는 과정은 참가팀 중 가장 뛰어나다는 평가까지 받고 있다 .	LOC-B O PER-B O O O O O O O O O O O O O O O O O O O O
선다운슬는 레라토차반구 등 공격진이 묘기와 같은 개인기로 국내 팬들의 탄성을 자아내고 있다 .	ORG-B PER-B O O O O O O O O O O O
그 근거는 딕아드보카트 전 네덜란드 대표팀 감독이 아랍에미리트연합(UAE) 대표팀 사령탑으로 1년 계약을 체결하+ㄴ 것 .	O O O O LOC-B O O ORG-B O O O O O O O
'아주리 군단'의 신예 골잡이 알베르토 질라르디노(23.전 파르마)가 이탈리아 프로축구 세리에 A의 명문 AC 밀란으로 이적하였다 .	ORG-B O O O PER-B O ORG-B ORG-B O ORG-B O O ORG-B O O O
질라르디노는 "너무 행복하다 .	PER-B O O O
일본 축구의 '영웅' 미우라가 즈요시(38.빗셀고베)가 40세까지 주전자리를 보장한 J2 리그요코하마FC로의 이적 하+ㄴ다 .	LOC-B O O PER-B ORG-B O O O ORG-B ORG-B O O O
박주영, 보카주니어스 전 준비돌 .	PER-B O O O O
특히 보카 주니어스에는 2005세계 청소년 축구선수권대회 우승팀 아르헨티나의 주력 멤버 네리카르도소, 페르난도 가고, 훌리오 바로 소가 포함되 +어 있어 박주영으로서는 더욱 의욕을 불태우+ㄹ만 하다 .	O ORG-B O O O O O ORG-B O O PER-B PER-B O PER-B O O O O O PER-B O O O O O
日축구대표팀, 동아시아 선수권대회 명단 발 .	LOC-B O O O O O
또 우라와 레즈의 신예 스트라이커 다나카타+아쓰야(23.우라와)도 공격진에 첫발탁하였다 .	O ORG-B O O O ORG-B O O O
북한 축구협회는 19일 대한축구협회에 제2회 동아시아연맹 축구선수권대회에 참가하+ㄹ남녀축구대표팀 명단을 통보하였다 .	O O O ORG-B O O O O O O O
리명수 체육단은 호위국 소속의 군인으로 이루어 지+ㄴ군팀이다 .	ORG-B O O O O O O O
"부와 명예가 생기면 여자는 자연스레 따르기 마련이 +ㅂ니다."프랑스 국가대표 출신으로 1990년대 중반 잉글랜드 프리미어리그 명문 클럽 맨체스터 유나이티드의 전성기를 이끌었던 에릭 칸토나(39)가 이성에 한창 관심이 많을 사춘기 축구 꿈나무들 앞에서 던지+ㄴ 농담이다 .	O O O O O O O LOC-B O O O O ORG-B O O O ORG-B O O O PER-B O O O O O O O O O O O O
94-95 시즌을 시작으로 97년 은퇴하+ㄹ 때까지 맨체스터 유나이티드의 중흥을 이끌며 "나+ㄴ 비록 프랑스인이지만 죽으면 올드 트래포드(맨체스터 유나이티드의 홈구장)에 묻히고 싶다"고 말 하+여+오았던 칸토나는 "맨체스터 유나이티드는 나에게 잊히+어지+ㄹ 수 없는 클럽이지만 세상 모든 축구팬들에게도 마찬가지 이+ㄹ 것"이라며 여전히 변함없는 애정을 드러내+었다 .	O O O O O O ORG-B O O O O O O O LOC-B ORG-B O O O O O O PER-B ORG-B O O O O O O O O O O O O O O O O O
맨체스터 이브닝뉴스는 포스터의 몸값이 옵션을 포함하+여 300만 파운드(56억원)에 달하+ㄴ다면서 알렉스 퍼거슨 감독이 스토크의 3번째 골키퍼에게 크+ㄴ 베팅을 +였다고 보도하였다 .	O O PER-B O O O MNY-B MNY-B O PER-B O O PER-B O O O O O O O
그는 또 "히딩크 감독을 뽑을 수 있다면 크+ㄴ 성공이 되+ㄹ 것"이라며 "그렇게 되+ㄹ 것으로 99% 확신하다"고 덧붙이었다 .	O O PER-B O O O O O O O O O O O O O O O
20일(한국시간)로이터통신에 따르면 부룬디, 카메룬, 잠비아, 나이지리아, 케냐 등 아프리카 5개국에서 노숙자 월드컵에 참가하려던 선수들이 체재비가 턱없이 부족하다는 이유로 비자 발급을 거부당하였다 .	LOC-B O ORG-B ORG-B ORG-B ORG-B ORG-B O ORG-B O O O O O O O O O O O O O
전주시, 남북축구`교통대책 ´ 마 .	ORG-B O O O O
현대중, 맨유와 아쉽 ㄴ무승 .	ORG-B ORG-B O O O
당성 증현대중 감독은 "첫 경기+이라 선수들이 많이 긴장하였다. 우리가 준비 하+ㄴ 것의 60-70%밖에 보이어주지 못하였다. 해보+ㄹ만 하+ㄴ팀이었고 반드시 이기려 +였는데 너무 아쉽다"고 밝히었다 .	O ORG-B O O O O O O O O O O O O O O O O O O O O O O
FIFA가 20일 발표 하+ㄴ 7월 세계 축구랭킹에 따르면 한국은 랭킹 포인트 696점으로 덴마크와 그리스(이상 공동 19위)에잇어 21위에 오르았다 .	ORG-B O O O LOC-B O O O ORG-B O O O ORG-B ORG-B O O O O O
한편 내년 월드컵 개최국이 +ㄴ 독일은 지난달 순위보다 무려 10계단이나 점프 하+여 11위에 랭크, 톱 10 진입을 눈앞에 +었다 .	O O O O O ORG-B O O O O O O O O O O O O O O
이날 경기는 박지성(현 맨체스터 유나이티드)과 함께 지나 +ㄴ 시즌에 인트 호벤을 '꿈의 무대' 유럽 축구연맹(UEFA) 챔피언스리그 4강까지 이끌 +ㄴ이 영표의 진가를 국내 축구팬들이 눈앞에서 직접 확인 하+ㄹ 수 있는 기회+이었다 .	O O PER-B ORG-B O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O
이영표는 1-1로 맞서 +ㄴ 후반 막판에도 두세 차례 결정적 이+ㄴ 크로스로 상대 수비진을 일거에 무너뜨리었으나 마무리가 이루어지지 않아 아쉽게 팀을 승리로 이끌지 못하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O
PSV에 인트 호벤(네덜란드)의 태극전사이영표는 전반득점과 다름없는 선제골어시스트를 기록하였으나 팀이 후반통한의 동점골을 내+어주+어빛이 바래+었다 .	ORG-B O LOC-B PER-B O O O O O O O O O O
전반 2분 오이에르의 위력적 이+ㄴ헤딩슛으로 포문을 열 +ㄴ에 인트 호벤은 왼쪽 윙백으로 선발 출전 하+ㄴ이 영표가 공격에 적극 가담하면서 파상공세를 펼치었다 .	O O PER-B O O O O O O O O O O O O O O O O O O O
에인트 호벤이 승리를 지키+어내면 결승에 오르+ㄹ 수 있었으나 후반 초반 방심이 화를 부르었다 .	O O O O O O O O O O O O O O
(A조) 올림피크리옹(1승2무)1(0-11-0)1에 인트 호벤(1승2무 .	ORG-B ORG-B O O O
그는 한국의 감독제의를 기다리+ㄴ 것이 아니었느냐는 물음에 "절대 그렇지 않다. 저는 PSV의 감독이었고 KFA에 다시 일자리를 달라고 하+ㄴ적이 없다"면서 "지금까지 4개국 축구협회로부터 감독제의를 받았고 그 중 호주를 포함하+ㄴ 2개국이 남아있는 상태"라고 설명하였다 .	O ORG-B O O O O O O O O O ORG-B O ORG-B O O O O O O O ORG-B O O O O LOC-B O O O O O O
"병철이 막아!병철이.. .	PER-B PER-B O
현재 정신지체 장애 2-3급 10여명의 선수들이 팀을 드나들며 2007년 중국 베이징(北京) 스페셜올림픽 출전을 목표로 한 여름 무더위를 쫓고 있다 .	O O O O O O O O O O O O O O O O O O O O
축구협, 북한대표팀 숙소.훈련장 '고심 .	ORG-B LOC-B O O O
축구협회는 파주NFC(대표팀 트레이닝센터)와 상암보조구장, 고양종합운동장 보조구장 등 3곳을 검토 중이다 .	ORG-B LOC-B O LOC-B LOC-B O O O O O O
◇맨체스터 유나이티드 아시아투어 생중계 일정 대홍콩 선발(23일 오후 4시50분. 홍콩) 대베이징시엔 다이(26일 저녁 8시 20분. 중국 베이징)대가시 마앤틀러스(28일 저녁 6시 50분.일본 도쿄) 대우라와 레즈(30일 저녁 6시 50분.일본 사이타마 .	O O O O O LOC-B O O O LOC-B LOC-B O O O O LOC-B LOC-B O O O LOC-B LOC-B ORG-B O O O LOC-B LOC-B O
네이버 '붉은악마' 공식 후 .	ORG-B ORG-B O O O
거스 히딩크(59) PSV에 인트 호벤(네덜란드) 감독이 21일 오후 호주로 출국하였다 .	PER-B O ORG-B O LOC-B O O O LOC-B O O
히딩크 감독이 정오께 호텔을 나서 +ㄴ 뒤 사라지자 행방을 수소문하느라 한때 소동이 일기도 +였다 .	PER-B O O O O O O O O O O O O O O
북한이 2006 아시아 청소년 축구선수권(19세 이하) 예선 개최권을 반납하였다 .	ORG-B O O O O O O O O O
울산 현대중이 '2005 맨체스터 유나이티드 프리미어컵' 세계 결선 8강에 오르았다 .	ORG-B O O O O O O O O O O
현대중은 이날 오전 에 스파뇰과의 3차전에서 최진수, 김진용, 곽정술의 연속골로 3-1로 승리하며 1무 1패 뒤 첫 승을 거두+ㄴ 뒤 오후 조별리그 마지막 경기에서도 곽정술, 이민섭, 이형수의 릴레이 골로도르트 문트에 3-0 완승을 거두고 8강 진출을 확정짓었다 .	ORG-B O O O O O PER-B PER-B PER-B O O O O O O O O O O O O O O PER-B PER-B PER-B O O O O O O O O O O
체육(-피스컵 축구-토튼햄, 리옹과 결승 '격돌' .	O ORG-B ORG-B O O O
전반 초반부터 미드필드 싸움으로 밀고 밀리는 공방을 펼치+ㄴ토튼햄은 전반 17분 하메드 미도가 페널티아크 부근에서 스루패스를 이어받아 골키퍼와 1대1 찬스를 맞았지만 아쉽게 옆 그물을 때리고 말았다 .	O O O O O O O ORG-B O O PER-B O O O O O O O O O O O O O O O
10명이 싸우는 불리하+ㅁ 속에서도 반격을 잇어나가+ㄴ 레 알소시에 다드는 후반 5분 다 실바의 헤딩슛이 수비수 맞고 나오는 불운에 다 이천수의 결정적 이+ㄴ슛이 골문을 비키+어나가면서 역전에 실패하고 말았다 .	O O O O O O O O PER-B O O PER-B O O O O O O PER-B PER-B O O O O O O PER-B O
'영원하+ㄴ리베로' 홍명보 대한축구협회 이사는 74표를 얻어 2위를 차지하였고, '적토마'고정운FC 서울 코치(73표)는 간발의 차이로 그 뒤를 잇었다 .	O PER-B ORG-B O O O O O ORG-B O O O O O O O O
오는 31일 개막하는 2005 동아시아축구연맹 선수권대회에 출전하는 '본 프레레호'가 24일 소집훈련에 돌입하+ㄴ다 .	O O O O O O O O O O O O O
수비에는 김한윤(부천), 김진규(이와타), 유경렬(울산) 이 미리 주전자리를 선점하고 있으나 월드컵 예선을 통하+여수비진이 대표팀 최대 취약 포지션으로 지목되 +ㄴ만큼 신진 선수들에게도 기회가 돌아가 +ㄹ 가능성이 크다 .	O ORG-B ORG-B ORG-B O O O O O O O O O O O O O O O O O O O O O O
"늘 노력하는 박지성의 모습이 아름답다. .	O O PER-B O O O
출국장에서 추최 측이 준비 하+ㄴ 사진 촬영에 나서 +ㄴ 박지성은 첫 번째 공식 사진 촬영에서 맨 뒷줄에 포함되 +어 얼굴이 제대로 보이지 않았지만 두 번째 촬영에서는 동료들이 앞줄로 내보내+어주는 '특혜(?)'를 베풀어주기도 .	O O O O O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O
박지성을 비롯하+ㄴ 선수단은 이날 오후 3시30분 공식기자회견을 시작으로 오후 7시께부터 홍콩에서의 첫 훈련에 나서 +ㄴ다 .	PER-B O O O O O O O O O LOC-B O O O O O
사고가 발생하+ㄴ 공립축구 경기장은 이 학교가 임대하+ 여 사용하던 곳으로 조호루 바루 지역 축구협회는 이번 사고의 원인을 조사하는 중이라고 밝히었다 .	O O LOC-B O O O O O O O O O O ORG-B O O O O O O O
박지성, 1천여 팬 운집 속 첫 훈 .	PER-B O O O O O O O
대회 주최 측은 23일 경기의 입장권 구매자들에게만 이날 훈련을 공개하였다 .	O O O O O O O O O O O
박지성을 비롯하+ㄴ 맨체스터 유나이티드 선수들은 훈련을 마치고 관중석 쪽으로 가 팬들에게 일일이 사인을 하+여 +었다 .	PER-B O ORG-B O O O O O O O O O O O O O
