'부천영화제 사무국'은 내달 3일 오후 3시30분∼5시30분 부천 중동신도시 중앙공원에서 'PiFan사랑 걷기대회'를 개최 하+ㄴ다 .	LOC-B ORG-I O O O O LOC-B LOC-B LOC-B O O O O O
"H.O. T는 건재하+ㅂ니다!"강타, 문희준, 토니안, 이 재원, 장우혁 등 5명의 H.O.T멤버가 거의 5년 만에 한 무대에서 +었다. 모두 모이어 같은 노래를 부르지는 않았지만 5명 모두 각각 개성 있는 무대를 팬들에게 선보이었다 .	ORG-B ORG-I PER-B PER-B PER-B O O PER-B O O ORG-B O O O O O O O O O O O O O O O O O O O O O
다음 주자는 토니안.그는 역시 솔로곡을 열창하+ㄴ 뒤마이크를 잡았다. 그는 "오늘은 뜻 깊은 날"이라며 "H.O.T멤버 5명에게 모두 추억으로 남을 만 하+ㄴ날"이라고 전하였고 팬들은 함성으로 화답하였다. 계속 하+여서 "같은 노래를 하지 못하+여아쉽지만 오늘 공연에서는 5명의 개성을 즐기+어달라"고 주문하며 "H.O. T는 건재하다"고 외치었다 .	O O O O O O O O O O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O ORG-B ORG-I O O O
5인조 남성그룹 동방신기가 '하이야야(Hiyaya) 여름날'로 여름 사냥에 나서 +ㄴ다 .	O O ORG-B O O O O O O O
지난해 11월 6부작으로 방송되+ㄴ KBS다큐멘터리'도자기'는 짜임새 있는 내용과 수려 하+ㄴ 영상, 아름답ㄴ 음악으로 시청자의 눈과 귀를 사로잡았다 .	O O O O ORG-B O O O O O O O O O O O O O
KBS '도자기' 제작팀 역시 속지에 "영상을 해석하는 탁월하+ㄴ 시선이 매번 독창적 이+ㄴ 음악으로 형상화되+어 돌아오았다"며 "그의 문화적 깊이가 없었다면 불가능하였던 작업"이라고 평하였다 .	ORG-B O O O O O O O O O O O O O O O O O O O O O O
조씨는 일본 산케이(産經) 신문과의 인터뷰에서 '(독도 문제에) 일본이 한수위'라고 말 하+여물의를 빚었고 시민단체들은 이 발언을 문제 삼아 아주대 공연 저지를 선언하였었다 .	PER-B LOC-B O O O LOC-B O LOC-B O O O O O O O O O LOC-B O O O O
한 한국씨는 "5천자는 5천만 겨레를 뜻하며 이 지도에 우리의 염원을 담았다"고 전하였다 .	PER-B PER-B O O O O O O O O O O O
이번 특집 공연은 11월 부산에서 열리는 APEC 정상회의의 성공 개최를 기원하고, 부산시민들과 자원봉사자를 격려하기 위하+ 여기획되+ㄴ 초대형 콘서트+이다 .	O O O O LOC-B O O O O O O LOC-B O O O O O O O
그는 25일 오후 8시 경기도 수원 야외음악당 잔디마당에서 전국투어 상반기 피날레를 장식 하+ㄴ다 .	O O O O LOC-B LOC-B LOC-I LOC-I O O O O O O
18-19일 오후 8시 열리+ㄴ이승철의 데뷔 20주년 기념 콘서트 '진성(眞聲)' 서울 공연에 이명박 서울시장 부부와 박정희 전 대통령의 아들 박지만 씨 부부가 참석하+여 눈길을 끌었다 .	TIM-I TIM-B TIM-I PER-B O O O O O LOC-B O PER-B LOC-B O PER-B O O O PER-B O O O O O O
그는 오는 28일 KBS2TV '윤도현의 러브레터'를 통하+여콘서트 이후 음악 프로그램에 처음 얼굴을 내밀+ㄴ다 .	O O O O O O O O O O O O O O
최근 연예인 짝짓기 프로그램에 출연하였던 서인영은 "남자 출연진의 프로포즈를 받기 위 하+여단상에서 +어 있는데 아무도 안 오는 것+이에요.정말 쥐구멍으로 들어가고 싶었어요.은근히 자존심이 상하더라구요. 프로그램 끝나 +ㄹ 때까지 어찌나 심란하던지요" +이라며 곤혹스럽었던 순간도 스스럼없이 털어놓았다. 또 "밥 제 때 안 먹으면 짜증 내고, 일하다 고민이 생기+어도 머리가 터지+ㄹ 것 같아 깊이 생각하지 않아요"라고 덧붙이 +ㄴ다 .	O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
가수 장나라(24)가 중국 '2004-2005년도 아시아 태평양 뮤직차트 어워드'에서 2관왕이 유력시되고 있다 .	O PER-B LOC-B O O O O O O O O O
'MYSTORY'는 진화일보가 매주 발표하는 6월 10일 자 주간 음반 판매량 순위에도 10위권에 랭크되었다 .	O O O O O O O O O O O O O O
비는 이날 팬들과 함께 생일 케이크 커팅을 하며 비의 이상형 찾기, 나라별 팬들의 장기자랑, 비와 팬들의 편지를 각각 공개하는 이벤트를 열 +ㄹ 계획이다. 또 해외활동 영상을 선보이며 3집 수록곡이+ㄴ '나', '알면서', 'It'sRaining ' 등을 부르+ㄴ다 .	PER-B O O O O O O O PER-B O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O
이 음반은 1970-90년대까지 국내외에서 많은 사랑을 받았던 노래 중 20곡을 선정하+여댄스 음악으로 편곡하+여수록, 기존의 리메이크 음반과 차별화되+ㄴ다 .	O O O O O O O O O O O O O O O O O O
작곡가 김형석, 비쥬의 다비와 혼성밴드 결 .	O PER-B ORG-B PER-B O O O
또 "다비는 비쥬 해체 후 2003년 솔로음반으로 활동하+ㄴ바 있다"고 덧붙이었다 .	O PER-B ORG-B O O O O O O O O
비바소울의 소속 사이+ㄴ 엠보트는 "비바소울 멤버들이 27살 동갑내기다.20대가 좋아하는 취향에 맞추+어 공연 컨셉트를 정하자 주류 반입을 하게 +었고 19세 관람가 등급이 +었다"고 설명하였다 .	ORG-B O O ORG-B ORG-B O O O O O O O O O O O O O O O O O O O
그룹 나무 자전거 멤버는 강인봉, 김형섭이다 .	O ORG-B ORG-I O PER-B PER-B O
세발자전거에서 자탄풍을 거치+어나무 자전거라는 그룹까지 만들게 +었다 .	ORG-B ORG-B ORG-B ORG-I O O O O
팀이지만 싱어는 김형섭이다"며 "자탄풍 때 풍경 송봉주가 맡았던 자리가 비어 어떻게 메우+ㄹ까 고민하였다 .	O O PER-B ORG-B O O PER-B O O O O O O O
또 "99년 우리 둘은 박진성씨와 세발자전거를 결성하였고 2000년 2집까지 내+ㄴ후 해체하였다 .	O O O O PER-B ORG-B PER-I O O O O O
김 회장은 "대중음악에 대하+ㄴ보다 본격적이고 체계적 이+ㄴ 연구가 필요하다"며 "오는 가을께 창립총회와 함께 창립학술대회를 열+ㄹ 예정"이라고 말하였다 .	PER-B O O O O O O O O O O O O O O O O O
1980년대 처음 만들기 시작하+여 지난해 5집을 출간 하+ㄴ 대중음악 무크지'노래'를 함께 만들었던 사람들과 후배들 중 꾸준히 대중음악 스터디 그룹을 하+여오+ㄴ 신현준 성공회대 교수와 김필호, 김형찬 등이 주축이다 .	O O O O O O O O O O O O O O O O O O O O PER-B ORG-B O PER-B PER-B O O O
이동기 추진위원장은 "가수들이 출연료 등 방송사와의 협상에서 부당하+ㄴ대우를 받고 있다"며 "가수의 권리를 되찾고 후배에게 올바르+ㄴ문화를 심어주기 위하+여가수지부를 설립하게 +었다"고 밝히었다 .	PER-B O O O O O O O O O O O O O O O O O O O O
포털사이트 드림위즈(dreamwiz. com)는 22일 음악 사이트 맥스 MP3, 인라이브와 제휴 하+여 음악 통합 검색 서비스를 시작하였다고 밝히었다 .	O O O O O O O O O O O O O O O O O O
윤도현은 24일 오후 8시 대학로 SH클럽에서 최근 1집 '알파비트'를 발표하+ㄴ 피아노록 밴드 '오메가3'와 함께 공연을 하+ㄴ다 .	PER-B O O O LOC-B LOC-I O O O O O O ORG-B O O O O
보아, "대학 진학 계획 없다 .	PER-B O O O O O
"3년 장학생으로 중학교에 입학하였어요 .	O O O O O
1990년 '미소속에 비치+ㄴ 그대'로 데뷔 하+ㄴ 신승훈은 8월 3일 일본에서 발매하는 정규 1집 타이틀곡을 '미소속에 비치+ㄴ 그대'로 결정하였다 .	O O O O O O PER-B O O LOC-B O O O O O O O O O
한편 신승훈은 정규 1집 발매에 앞서 +어 7월 6일 첫 번째 싱글을 일본에서 발표 하+ㄴ다 .	O PER-B O O O O O O O O O O LOC-B O O O
축제조직위원회는 "평소 마야씨가 나라 사랑에 남다르+ㄴ 관심을 보이는 활동을 펼치+어+오았다"며 홍보대사 제의를 +였다. 위촉식은 24일 서울 신촌 창천공원에서 열리는 커뮤니티축제 쇼케이스에서 진행되며, 같은 날 오후 7시부터 마야와 밴드 브런치의 공연도 펼쳐 지+ㄴ다 .	O O PER-B O O O O O O O O O O O O LOC-B LOC-B LOC-I O O O O O O O O PER-B O ORG-B O O O O
한국문화콘텐츠진흥원(원장 서병문)은 다음달 4-15일 제35기 사법연수원생 56명을 대상으로 문화콘텐츠 분야 수습 실무교육을 실시하+ㄴ다 .	ORG-B PER-B O O O O O O O O O O O O
가수 변진섭이 오는 8월 11-16일 열리는 '서울국제만화 애니메이션 페스티벌(SICAF) 2005'의 홍보대사로 위촉되+ㄴ다 .	O PER-B O O O O O O O O O O O
SM엔터테인먼트의 이수만이 시사저널이 조사하+ㄴ 엔터테인먼트 업계 파워 1위에 선정되었다 .	ORG-B PER-B O O O O O O O O
10위권 이내의 인물들 중에는 영화산업 종사자가 다섯 명으로 가장 많았으며 음반 기획(이수만, 박진영), 영화제작(강우석, 차승재), 연예기획(정훈탁, 배용준), 영화연출(강제규, 박찬욱), 드라마 제작(김종학, 윤석호) 등의 분야에서 라이벌 구도가 형성되었다 .	O O O O O O O O O O O PER-B PER-B PER-B PER-B PER-B PER-B PER-B PER-B O PER-B PER-B O O O O O O
영국 공영방송 BBC의 간판 시사 프로그램이+ㄴ '뉴스나이트(News Night)'가 '코리아웨이브' +이라는 타이틀을 내걸 +ㄴ 특집 방송에서 보아(19)를 '전세계에 한국을 알리+ㄹ 새 얼굴'로 소개하였다 .	LOC-B O ORG-B O O O O O O O O O O O O PER-B O LOC-B O O O O O
'뉴스나이트'는 보아의 인터뷰 방송에서 'No.1'과 'GirlsonTop'의 뮤직비디오를 삽입, 보아의 대표곡을 소개하였다 .	O PER-B O O O O O O PER-B O O O
저작권 보호센터는 다음 ㆍ 네이버 등 국내 주요 포털 사이트 6곳의 카페ㆍ블로그 등에 불법 음원을 무단으로 올리+ㄴ 이용자 10명과 카페 운영자 1명 등 총 11명을 서울중앙지검에 고소하였다고 27일 밝히었다 .	ORG-B ORG-I ORG-B O ORG-B O O O O O O O O O O O O O O O O O O O O ORG-B O O O O
간암으로 투병 중이던 김창남은 27일 오후 9시30분 자택서 사망, 밤 11시15분 서울 송파구 풍납동 서울아산병원 응급실로 후송되었다 .	O O O PER-B O O O O O O O LOC-B LOC-B LOC-B LOC-B O O O
5인조 밴드 '라이너스의 담요'가 새롭ㄴ 싱글 '레이버 이+ㄴ 베이+ㄴ(LaborinVain)'을 내놓았다 .	O O ORG-B ORG-I O O O O O O O
각각 미국과 일본에서 활동하고 있는 여성 재즈 뮤지션 송영주와 눈(noon)의 앨범이 국내에서 나란히 발매되었다 .	O LOC-B LOC-B O O O O O PER-B PER-B O O O O O
국내에서 CCM 반주자로 활동하다가 대학 졸업 후 미국 보스턴버클리음대에서 공부를 마치었다 .	O O O O O O O ORG-B ORG-I O O O
2003 데뷔 앨범 '베터댄 애니씽(bett erthananything)'을 일본에서 발매하+여 좋은 평가를 받았고 재즈 앨범 차트에서 누라 존스와 순위를 다투기도 +였다 .	O O O O O O LOC-B O O O O O O O PER-B PER-I O O O O
소냐, 7월 1년 반 만에 5집 발 .	PER-B O O O O O O O
작년 연말 한국 뮤지컬 대상에서 여우신인상을 수상하는 등 뮤지컬계에서 +ㄴ 입지를 굳히었으나 음반 준비에는 소홀 하+ㄹ 수밖에 없었다 .	O O O O O O O O O O O O O O O O O O O
29일 오후 7시 경기도 일산 라페스타 야외무대에서 열리는 첫 녹화에는 보아, 이승철, 김건모, 버즈, 윤도현, 쥬얼리, 장윤정, MC몽 등 한국 가수 20팀과 구하 이벤, 아타, 여베이 등 6팀의 정상급 중국 가수들이 출연하+여무대를 꾸미+ㄴ다 .	O O O LOC-B LOC-B LOC-I LOC-I O O O PER-B PER-B PER-B ORG-B PER-B ORG-B PER-B PER-B O ORG-B O O PER-B PER-I PER-B PER-B O O O O O O O O
이들은 7월 2일 오후 7시30분 중국 베이징 방산올림픽공원에서 개최되는 베이징 올림픽 문화제 주간 개막행사 이+ㄴ'한중 2005베이징 슈퍼콘서트'에 참석하+여 한국스타들의 위상을 보이어 주+ㄴ다 .	O O O O O LOC-B LOC-B LOC-B O LOC-B LOC-I O O O O LOC-B O O ORG-B O O O O
아시아문화교류재단 신현택 이사장은 "이번 행사는 한중대중문화합동공연으로서는 역대 최대 규모가 되+ㄹ 것이며, 베이징 올림픽을 계기로 한중문화와 체육교류 활성화를 위하+ㄴ 출발점이 되+ㄹ 것"이라고 밝히었다 .	ORG-B PER-B O O O ORG-B O O O O O O O O ORG-B ORG-I O O O O O O O
한국사회복귀시설협회의 한 관계자는 "찰리박이 성인 가수+이지만 인기가 높은데다 장애우들에게 재미있고 편하게 다가가 +ㄹ 수 있는 친근하+ㄴ이미지+이어서 홍보대사로 선정하였다"며 배경을 설명하였다 .	ORG-B O O PER-B O O O O O O O O O O O O O O O O O
렉시는 30일부터 10일 일정으로 뮤직비디오 촬영 차 케냐로 떠나 +ㄴ다. 사진작가 김중만 씨와 뮤직비디오 감독서 현승 씨 등 국내 최고 스태프 30명, 미국에서 케냐로 합류하는 댄서 등이 동행 하+여 총항공료만 8천 만에 달하+ㄴ다. 뮤직비디오 총제작비는 4억원 규모 .	PER-B O O O O O O LOC-B O O O PER-B O O O O O O O O O O LOC-B LOC-B O O O O O O MNY-B O O O O MNY-B O O
조용필, 월드컵경기장 투어 하반기 일정 공 .	PER-B LOC-B O O O O O
조용필은 상반기 공연 결산과 하반기 공연 계획 발표를 위하+여29일 오전 11시 서울 그랜드 하얏트호텔 리젠시룸에서 '2005P IL&PEACE' 하반기 투어 제작발표회를 갖는다 .	PER-B O O O O O O O O O O LOC-B LOC-B LOC-I LOC-I O O O O O O O
이 같은 소식을 듣은 빅마마는 "히트곡수를 헤아리+ㄹ 수 없는 보이즈 투맨은 전 세계 R&B 뮤지션과 아카펠라 그룹의 교과서적이+ㄴ 역할을 +였다"며 "우리 역시 그들의 음악을 듣고 자라 +ㄴ 팬이어서 제의에 흥분되면서도 잘 하+ㄹ 수 있을지 걱정되+ㄴ다"고 말하였다 .	O O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
지난해 12월 문을 닫아 많은 음악팬들이 아쉬워하었던 서울 종로의 대형 음반 매장 뮤직랜드가 인터넷에 다시 문을 열었다 .	O O O O O O O LOC-B LOC-B O O O LOC-B O O O O O
또 1970년대 활동하였던 포크듀오'라나에로스포'의 앨범과 쳇베이커&아트페퍼의 '플레이보이스' 앨범도 재발매 하+ㄴ다 .	O O O O O PER-B O O O O O
문화예술특위는 28일 "이번 정책토론회를 시작으로 3대 이동통신사의 음악시장 독식과 관련, 불공정 하+ㄴ 수수료율에 대하+ㄴ문제점이 드러나면 국회 차원의 진상조사위원회를 구성하+여 국회 특별위원회, 감사원, 공정거래위원회 등의 강력 하+ㄴ 제재 조치가 검토되고 있다"고 밝히었다 .	ORG-B O O O O O O O O O ORG-B O O O O ORG-B O O O ORG-B ORG-I ORG-B ORG-B O O O O O O O O O
서울예대 출신 개그그룹 틴틴 파이브는 1993년 결성, 94년 1집 '틴틴 파이브', 96년 2집'HereWeGo', 2000년 3집'WeBeginAgain'을 발표하+ㄴ바 있다 .	ORG-B O O ORG-B ORG-I O O O O ORG-B ORG-I O O O O O O O
'한-일 레인보우 콘서트' 다음달 日 개 .	O O O O LOC-B O O
진행은 일본어를 구사하는 가수채연이 맡을 예정이다 .	O O O O O O O
'서울 뮤직페스티벌'은 다음달 21일부터 8월 22일까지 33일 동안 매일 오후 6시30분에 서울 상암 월드컵경기장 서문 야외공연장에서 열리+ㄴ다 .	LOC-B O O O O O O O O O O LOC-B O O O O O O
신 팀장은 "이통사로 인하+여음반시장이 붕괴되었다는 주장은 옳지 않다"며 "기존 음반시장을 대체하고 있는 디지털 음원 불법복제ㆍ유통이 주되 +ㄴ 원인"이라고 주장하였다. 또 "그나마 유료화를 기반으로 하+ㄴ 휴대폰 음원 시장을 문제+이라고 지적하는 것은 옳지 않다"고 반박하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
이 세트에는 DVD와 라이브 CD, 32P 분량의 미니 포토북, 포스트카드 2장이 수록되+어 있다.30일 현재 일본 최대 음반체인이+ㄴ HMV 예약 판매차트 2위에 랭크되+어 있으며 '수개월 전부터 온라인 사이트에서 많은 고객의 요청이 있었다'는 설명도 곁들이 어지+어 있다 .	O O O O O O O O O O O O O O LOC-B O O ORG-B O O O O O O O O O O O O O O O O O O
최근 아동 성추행 혐의에 대하+여무죄 평결을 받은 마이클 잭슨이 휴식차 아랍걸프만 국가를 방문하였다고 바레인의 한 고위 공무원이 지나 +ㄴ 30일 밝히었다 .	O O O O O O O PER-B PER-I O LOC-B O O ORG-B O O O O O O O O
어린이그룹 '7공주'가 여성가족부 출범기념 캠페인송'가족사랑 행복송-가족'을 부르었다 .	O ORG-B ORG-B O O O O O
4인조 여성보컬그룹 빅마마가 KBS2TV '인간극장'에서 5부작 특집으로 다루+어지+ㄴ다 .	O O ORG-B O O O O O O
또 셋째 이영현은 경비일을 하고 있는 아버지가 딸의 음악교육을 위하+여자신의 생명보험을 해약하+ㄴ사연을 풀어내 +ㄴ다 .	O O PER-B O O O O O O O O O O O O
한편 빅마마는 현재 7월 말부터 시작되는 서울, 전주, 부산, 대구 등의 대도시 단독 콘서트를 준비 중이다 .	O ORG-B O O O O LOC-B LOC-B LOC-B LOC-B O O O O O O O
이밖에도 이날 공연에서 +ㄴ '헤드윅'의 주옥같은 록 넘버와 데이비드 보위, 너바나 등 위대하+ㄴ로커들의 명곡을 듣을 수 있다. 또 부활의 드러머채 제민과 그룹 시나위 출신 드러머 김민기의 트윈 드럼 연주 대결도 펼쳐 지+ㄴ다 .	O O O O ORG-B O O O PER-B PER-I PER-B O O O O O O O O O O O ORG-B O O PER-B O O O O O O O
가수지부는 한국방송연기자 노조나 +의 탤런트, 희극인, 성우, 무술 연기자지부에잇어 설립되었으며 가수들의 열악하+ㄴ 경제적 처지를 개선하고 기본적 이+ㄴ 권익과 사회적 지위 향상을 도모하+ㄴ다는 취지로 만들어 지+었다 .	O ORG-B ORG-I O O O O O O O O O O O O O O O O O O O O O O O
가수 김장훈이 대극장 스케일의 소극장 공연을 1일 시작하였다 .	O PER-B O O O O O O O
버즈의 '가시'가 5주째 온라인 차트의 정상을 지키고 있다.'가시'는 1일 자 온라인 음악차트 이+ㄴ 맥스차트에서 1위를 차지하였다 .	ORG-B O O O O O O O O O O O O O O O O
새 앨범을 발표하+ㄴ린의 '보통 여자'도 13위에서 9위로, 박효신이강수지의 곡을 리메이크 하+ㄴ '흩어 지+ㄴ 나날들'도 32계단을 오르아 18위로 오르는 등 상승세를 타고 있다 .	O O O O O O O PER-B O O O O O O O O O O O O O O O
5.같은 생각(신혜성 .	O PER-B O
11.살다가(SG워너비 .	ORG-B O
17.벌(버즈 .	ORG-B O
리듬앤 블루스가 수+이며 작곡가로 많은 사랑을 받아 오+ㄴ루더 밴드로스(LutherVandross)가 1일(미국 시각) 향년 54세로 별세하였다고 CBS, AP, AFP 등 외신들이 이날 보도하였다 .	O O O O O O O PER-B PER-B LOC-B O O O O O O O O O O O O
보아, 강타, 동방신기, 천상지희 등 '한류스타'들이 2일 오후 1시30분 베이징 켐핀스키 호텔에서기자회견을 열었다 .	PER-B PER-B ORG-B ORG-B O O O O O LOC-B LOC-I LOC-I O O
천상지희 역시 "이달 내 중국어로 부르+ㄴ 앨범의 녹음을 모두 마치 +어 하반기에는 중국에서 많은 활약을 하+ㄹ 것"이라고 계획을 밝히었다 .	ORG-B O O O LOC-B O O O O O O O LOC-B O O O O O O O
안재욱, 기획사 ENTURN과 전속 계 .	PER-B O ORG-B O O O
5월 한 ㆍ중ㆍ일패+ㄴ 500명이 참여하+ㄴ팬클럽 '포에버'와 팬미팅을 가지었고, 6월 발표 하+ㄴ 김건모의 10집 신곡 '서울의 달' 뮤직비디오에 주인공으로 출연하+ㄴ바 있다 .	TIM-B LOC-B LOC-B TIM-B O ORG-B O O O O O PER-B O O O O O O O O O
류시원 노래, 바다에 표류 중 이+ㄴ 일본인 살리었 .	PER-B O O O O O O O O
류시원은 콘서트 초대의사를 하시모토 씨에게 전달하였고, 병원에서 퇴원 하+여자택에서 요양 중이+ㄴ 하시모토 씨는 흔쾌히 이를 받아들이었다 .	PER-B O O PER-B O O O O O O O PER-B O O O O O
TJ미디어 집계에 따르면 SG워너비는 작년 말부터 6개월간 'Timeless', 'TheStory'(드라마 '매직' O.S.T)와 2집 수록곡 '죄와 벌', '살다가', '광' 등 총 5곡을 연 잇어 히트시키었고, 이 노래들은 총 305만 3천844회나 불리었다 .	O O O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O
이어 버즈의 '겁쟁이'(100만 1천756회)가 2위, izi의 '응급실'(77만8천281회)이 3위, 박효신의 '눈의 꽃'(76만5천109회)이 4위, SG워너비의 '죄와 벌'(71만379회)이 5위를 차지하였다 .	O ORG-B O O O PER-B O O PER-B O O O ORG-B O O O O O
개그우먼 박희진, 벨소리ㆍ 통화 연결음 서비 .	O PER-B O O O O O
지나+ㄴ 1999년 MBC 공채 개그맨 10기로 데뷔 하+ㄴ 박희진은 그간 시트콤 '똑바로 살아라' 등을 통하+여 연기력을 선보이었고, '안녕!프란체스카'로 대중적 이+ㄴ인기를 얻었다.6월 제41회 백상예술대상 시상식에서 여자 부문 TV 예능상을 수상하였고 최근 잇따르 아CF 계약도 성사시키었다 .	O O ORG-B O O O O O PER-B O O O O O O O O O O O O O O O O O O O O O O O O O O
한국문화콘텐츠진흥원, 제1회 음악산업포럼 개 .	ORG-B O O O O
클론, KBS '윤도현의 러브레터' 통하+여가수 활동 재 .	ORG-B O O O O O O O
'윤도현의 러브레터'이동희 PD는 "클론의 가요계 복귀가 시청자들이 만나고 싶어하는 화제의 인물을 초대하는 '특별 하+ㄴ 초대' 코너에 잘 맞을 것 같아 이들을 초대하게 +었다"면서 "이번 무대에서는 '나+의 사랑송이'에 맞추+어 새로 개발하+ㄴ 휠체어댄스도 선보이+ㄹ 예정"이라고 말하였다 .	O PER-B O ORG-B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
팬텀은 "19일 발매되는 아이비의 음반 및 뮤직비디오 작업에만 이미 10억원을 투자하였다"며 "1년이 걸리+ㄴ 음반 작업을 위하+여국내 최고의 음반 프로듀서와 미국 현지 믹싱 및 마스터링 작업을 거치었다"고 밝히었다 .	ORG-B O O PER-B O O O O O MNY-B O O O O O O O O O LOC-B O O O O O O O O
그러나 팬텀은 아이비의 가창력을 발견하였고, 발라드 가수 로 키우기 위하+ㄴ 트레이닝을 시키었다 .	O ORG-B PER-B O O O O O O O O O O
비의 소속사(JYP엔터테인먼트) 관계자들조차 "홍콩 TVB를 통하+여드라마 '풀하우스'가 방송되었고, 태국과 일본에서 열리+ㄴ MTV 시상식 참석으로 인기가 많은 줄은 알았지만 이 정도 이+ㄴ지는 모르았다"며 혀를 내두르고 있다 .	PER-B ORG-B O O O O O O LOC-B LOC-B O O O O O O O O O O O O O O O O
또 비는 오후 5시 같은 장소에서 4천명의 팬들과 함께 팬미팅을 개최, 팬들을 위하+여'It'sRaining'을 선사하였다 .	O PER-B TIM-B TIM-I O O O O O O O O O O O
KBS2TV 일일 시트콤 '올드미스 다이어리'(연출 김석윤)의 O.S.T 앨범이 이달 중순께 발매되 +ㄴ다 .	O O O O O PER-B O O O O O O O
음반 녹음은 지나 +ㄴ 3월 초부터 지난달 말까지 4개월 동안 진행되었으며 음반은 풍엔터테인먼트에서 출시되+ㄴ다 .	O O O O O O O O O O O O ORG-B O O
다큐 'Elvis ByTheP resleys'는 엘비스의 부인 프리실라 프레슬리, 딸이자가수 이+ㄴ 리사 마리 프레슬리의 미공개 영상을 통하+여엘비스의 인간적이+ㄴ면을 조명하+여 폭발적 이+ㄴ 시청률을 기록하였다 .	O O O O PER-B O PER-B PER-I O O PER-B PER-I PER-I O O PER-B O O O O O O O
8곡에는 엘비스 생전 여러 버전으로 녹음하던 중 실제 음반에 수록되지 않은 버전과 세상을 뜨기 몇 달 전 녹음 하+ㄴ 라이브레코딩 등이 수록되었다 .	O PER-B O O O O O O O O O O O O O O O O O O O O O
첫 번째 싱글곡 'Wal kingShade'는 1980년대 뉴웨이브 스타일에 잡음이 섞이+ㄴ 기타 연주 등을 덧입히 +ㄴ곡으로 앨범 전체에서 멜로디가 가장 살아있는 노래 중 하나이다 .	O O O O O O O O O O O O O O O O O O O O O O O O
조성모의 '미스터 플라워'와 KCM의 '스마일어게인', 윤도현의 '사랑하었나 보+아', 버즈의 '겁쟁이' 등 올 상반기에 나 오+ㄴ 뮤직비디오 중 최고의 뮤직비디오를 뽑는 투표가 시작되었다 .	PER-B O O PER-B O PER-B O O ORG-B O O O O O O O O O O O O O O
로이터통신사가 3일 보아(19)의 성공담을 조명하는 기사를 게재하였다 .	ORG-B O PER-B O O O O O
한편 국내에서 정규 5집 'Girls OnTop'을 발표하고 활동 중 이+ㄴ보아는 파워풀한 댄스와 매니시한 스타일로 변화에 성공하였다는 평가를 받고 있다 .	O O O O O O O O O PER-B O O O O O O O O O O
이날 행사에 참석하+ㄴ컬투의 정찬우는 "요즘 특정 개그맨이 만들 +ㄴ 유행어와 아이디어가 타인에 의하+여 상업적으로 이용되는 문제가 심각하다"면서 "방송 프로그램 개그 코너의 판권 등에 대하+ㄴ 시스템을 구축하려는 시도"라고 밝히었다 .	O O ORG-B PER-B O O O O O O O O O O O O O O O O O O O O O O O O O
6일 일본서 첫 번째 싱글을 발표하+ㄴ 신승훈이 5일 악수회 이벤트를 시작으로 공식적 이+ㄴ 프로모션에 돌입하였다 .	O LOC-B O O O O PER-B O O O O O O O O O
잇어 8월 3일에는 '미소속에 비치+ㄴ 그대'를 타이틀로 한 정규 1집을 일본에서 발매하+ㄴ다.1집에는 한국어 ㆍ 일본어 버전 '미소속에 비치+ㄴ 그대'와 '러빙유', '너만을 위하 +ㄴ사랑', '전설 속의 누구+이+ㄴ 가처럼', 'IBelieve' 등 12곡이 수록되+ㄴ다. 또 신승훈은 8월 30-31일 일본 오사카 국제회의장 메인홀에서, 9월 4일 도쿄 국제포럼에서 세 차례 콘서트도 준비 중이다 .	O O O O O O O O O O LOC-B O O O LOC-B O O O O O O O O O O O O O O O O O PER-B O O LOC-B LOC-B LOC-I LOC-I O O O O O O O O O O
김종국, 3집으로 '한 남자' 인 기재도 .	PER-B O O O O O O
또 '한 남자'를 작곡하+ㄴ 황찬희의 '그녀의 남자에게', 강 하+ㄴ비트의 댄스곡이 +ㄴ 주영훈 작곡의 '사랑스럽어', 김종국의 감미롭 ㄴ 하이톤 목소리가 돋보이는 '지우개', 이현도가 작곡하+ㄴ 라틴리듬의 디스코 곡 '토요일 밤' 등 다양하+ㄴ 장르가 담기 +어 있다 .	O O O O PER-B O O O O O O PER-B O O PER-B O O O O O O PER-B O O O O O O O O O O O O O
윤종신의 소속 사이+ㄴ티엔터테인먼트는 "그날 오후 2시에 시작하+ㄴ 첫 경기를 마치 +ㄴ후 4시에 열리+ㄴ 두 번째 경기 중 7회말 타석에서 +었다가 부상을 당하였다"며 "상황이 심각하+ 여경기를 중단하고 일산의 한 병원 응급실로 가+아 응급처치를 받은 후 3일 서초동 정형외과에서 수술을 받았다"고 설명하였다 .	PER-B O O O O O O O O O O O O O O O O O O O O O O O O O LOC-B O O O O O O O O LOC-B O O O O O
